tier,id,source,use_case_family,scenario,task,primary_industry,why
medium,IMG-STY-10,Existing 60 (already run in pairs A/B/C),Style transfer,Style transfer with brand lock,image_edit,Gaming,Style change under an exact hex lock; 9.6 flat
medium,IMG-TXT-02,Existing 60 (already run in pairs A/B/C),"Text, typography, infographics",Small-type packaging,text_to_image,Ecommerce & Retail,Small-type exact string; Lite 7.0
medium,IMG-TXT-05,Existing 60 (already run in pairs A/B/C),"Text, typography, infographics",Bilingual signage,text_to_image,Ads,Devanagari rendering alongside English; GPT-high 8.5
medium,IMG-TXT-08,Existing 60 (already run in pairs A/B/C),"Text, typography, infographics",Notes to typeset diagram,image_edit,Ads,"Sketch to typeset diagram, every label and edge kept; Lite 6.5"
medium,IMG-TXT-10,Existing 60 (already run in pairs A/B/C),"Text, typography, infographics",Typo correction in place,image_edit,Ads,In-place typo fix matching font; Pro 7.1
medium,IMG-UI-04,Existing 60 (already run in pairs A/B/C),UI mockups & layout,HTML page to mockup,image_edit,Gaming,Page to image with layout and text exact; GPT-medium 8.0
medium,IMG-GAME-02,Gaming character design v4,Concept & ideation,Operator skin silhouette exploration,text_to_image,Gaming,"Exactly six distinct silhouettes, equal height and spacing"
medium,IMG-GAME-04,Gaming character design v4,Concept & ideation,Mobile low-poly operator under a triangle budget,text_to_image,Gaming,Low-poly look under a hard colour/facet budget
medium,IMG-GAME-07,Gaming character design v4,Concept & ideation,Uniform with a legible name tape and unit patch,text_to_image,Gaming,"Two short strings on curved, creased fabric"
medium,IMG-GAME-24,Gaming character design v4,Concept & ideation,Two-phase armoured boss,text_to_image,Gaming,Two-phase boss with identity carried across the change
medium,IMG-GAME-25,Gaming character design v4,Concept & ideation,Skin concept from a mood-board word list,text_to_image,Gaming,Abstract word brief plus a four-colour palette constraint
medium,IMG-GAME-26,Gaming character design v4,Concept & ideation,Driver designed to match a vehicle livery,text_to_image,Gaming,Character and vehicle livery colour-matched
medium,IMG-GAME-27,Gaming character design v4,Concept & ideation,Squad ranks across three tiers,text_to_image,Gaming,Three ranks sharing one motif with escalating detail
medium,IMG-GAME-29,Gaming character design v4,Concept & ideation,Infected enemy with a silhouette rule,text_to_image,Gaming,Deliberately wrong anatomy under a silhouette rule
medium,IMG-GAME-34,Gaming character design v4,Concept & ideation,Design brief with explicit exclusions,text_to_image,Gaming,"Five inclusions and five exclusions, any exclusion fails"
medium,IMG-GAME-09,Gaming character design v4,Identity & consistency,Lobby expression sheet from one reference,image_edit,Gaming,Six-expression grid from one reference
medium,IMG-GAME-13,Gaming character design v4,Identity & consistency,"Same operator, fifteen years on",image_edit,Gaming,"Age change plus wardrobe change, identity held"
medium,IMG-GAME-36,Gaming character design v4,Identity & consistency,"One operator, three lighting environments",image_edit,Gaming,Three lighting setups with albedo held
medium,IMG-GAME-37,Gaming character design v4,Identity & consistency,Three shot distances of one operator,image_edit,Gaming,"Three shot distances, identity held"
medium,IMG-GAME-39,Gaming character design v4,Identity & consistency,Four-panel kill-cam beat,image_edit,Gaming,"Four-panel sequence, identity and camera distance held"
medium,IMG-GAME-40,Gaming character design v4,Identity & consistency,"Respirator off, face revealed",image_edit,Gaming,Reveal an occluded face sized to the hood opening
medium,IMG-GAME-22,Gaming character design v4,Style & production assets,Lobby portrait crop with a name plate,image_edit,Gaming,"Recompose to square crop plus exact name text, face unchanged"
medium,IMG-GAME-57,Gaming character design v4,Style & production assets,Battle-pass card illustration crop,image_edit,Gaming,Recompose to card format with border and an empty reserved banner
medium,IMG-GAME-59,Gaming character design v4,Style & production assets,Design readability at gameplay scale,image_edit,Gaming,"Camera moved behind and above, figure shrunk to 1/8 height"
medium,IMG-GAME-14,Gaming character design v4,Variants & progression,Loadout tier progression,image_edit,Gaming,Three escalating tiers on one identity
medium,IMG-GAME-17,Gaming character design v4,Variants & progression,Battle-damaged state,image_edit,Gaming,"Additive damage state, base design intact, negative constraint (no blood)"
medium,IMG-GAME-45,Gaming character design v4,Variants & progression,Elite variant of a base enemy,image_edit,Gaming,"Elite variant — amplified, not replaced"
medium,IMG-VIEW-22,Viewing angle v3,Camera angle from scratch,"True isometric projection, no convergence",text_to_image,Gaming,"True isometric with 30° axes, no convergence"
medium,IMG-VIEW-47,Viewing angle v3,Camera angle from scratch,High-angle crowd shot,text_to_image,Ads,Crowd with one consistent elevated camera
medium,IMG-VIEW-48,Viewing angle v3,Camera angle from scratch,Dutch angle at a specified tilt,text_to_image,Micro-drama & entertainment,Dutch angle at a numeric 20°
medium,IMG-VIEW-49,Viewing angle v3,Camera angle from scratch,Two-point perspective street scene,text_to_image,Ads,Strict two-point perspective construction
medium,IMG-VIEW-50,Viewing angle v3,Camera angle from scratch,Telephoto compression versus wide angle,text_to_image,Ads,Telephoto compression rendered convincingly
medium,IMG-VIEW-52,Viewing angle v3,People — single and group viewpoints,Full-length portrait to a strict side profile,image_edit,Micro-drama & entertainment,Standing person to strict side profile
medium,IMG-VIEW-60,Viewing angle v3,People — single and group viewpoints,Full-body person from an extreme low angle,image_edit,Micro-drama & entertainment,Extreme low angle with correct anatomy
medium,IMG-VIEW-11,Viewing angle v3,"People, food & fashion",Forty-five degree food shot to an overhead flat lay,image_edit,Ecommerce & Retail,Food shot to overhead flat lay with arrangement held
medium,IMG-VIEW-12,Viewing angle v3,"People, food & fashion",Front-on garment to the back view,image_edit,Ecommerce & Retail,Back view of a person and garment
medium,IMG-VIEW-36,Viewing angle v3,"People, food & fashion",Straight-on model shot to a three-quarter lifestyle angle,image_edit,Ecommerce & Retail,Person and garment turned 35°
medium,IMG-VIEW-39,Viewing angle v3,"People, food & fashion",Full-body shot to a close garment detail angle,image_edit,Ecommerce & Retail,Close camera move with real fabric detail
medium,IMG-VIEW-05,Viewing angle v3,Product & object rotation,Four-step turntable sheet,image_edit,Ecommerce & Retail,Four-angle turntable of one object
medium,IMG-VIEW-23,Viewing angle v3,Product & object rotation,Show the base of the product,image_edit,Ecommerce & Retail,"Unseen base of an object, no invented markings"
medium,IMG-VIEW-25,Viewing angle v3,Product & object rotation,Front elevation to a three-quarter furniture angle,image_edit,Ecommerce & Retail,"Furniture to three-quarter, rear legs and pattern invented"
medium,IMG-VIEW-26,Viewing angle v3,Product & object rotation,Flat jewellery shot to an angled display view,image_edit,Ecommerce & Retail,Small jewellery re-angled with fine detail
medium,IMG-VIEW-14,Viewing angle v3,Technical & corrective,Correct converging verticals on a building,image_edit,Ecommerce & Retail,Keystone correction with masonry detail held
medium,IMG-VIEW-41,Viewing angle v3,Technical & corrective,Remove fisheye barrel distortion,image_edit,Ecommerce & Retail,"Fisheye to rectilinear, content retained"
medium,IMG-VIEW-43,Viewing angle v3,Technical & corrective,Off-axis artwork to a flat reproduction,image_edit,Ecommerce & Retail,Artwork rectified with no reinterpretation
low,IMG-CHAR-09,Existing 60 (already run in pairs A/B/C),Character & identity,Feature fidelity from reference,image_edit,Micro-drama & entertainment,"New scene, features held; 10 in every arm"
low,IMG-CHAR-10,Existing 60 (already run in pairs A/B/C),Character & identity,Persistent accessory,image_edit,Gaming,Persistent accessory across scenes; Lite 9.6
low,IMG-LE-01,Existing 60 (already run in pairs A/B/C),Localised editing / object removal,Single object removal from clutter,image_edit,Ecommerce & Retail,Single object removal; 9.7
low,IMG-LE-07,Existing 60 (already run in pairs A/B/C),Localised editing / object removal,Thin structure removal,image_edit,Ecommerce & Retail,Thin power-line removal; Lite 9.7
low,IMG-LE-08,Existing 60 (already run in pairs A/B/C),Localised editing / object removal,Expression change only,image_edit,Ecommerce & Retail,Expression change only; Lite 9.6
low,IMG-BRAND-01,Existing 60 (already run in pairs A/B/C),Product & brand imagery,Packshot on seamless white,image_edit,Ecommerce & Retail,Single product on white; 10 in every arm
low,IMG-BRAND-07,Existing 60 (already run in pairs A/B/C),Product & brand imagery,Seasonal campaign variant,image_edit,Ecommerce & Retail,Seasonal background swap; 10 in every arm
low,IMG-BRAND-09,Existing 60 (already run in pairs A/B/C),Product & brand imagery,Colourway variant,image_edit,Ecommerce & Retail,Single colourway change; Lite 9.5
low,IMG-STY-06,Existing 60 (already run in pairs A/B/C),Style transfer,Period style,image_edit,Gaming,Period restyle; 10 in every arm
low,IMG-STY-07,Existing 60 (already run in pairs A/B/C),Style transfer,Style transfer with readable text,image_edit,Gaming,Poster style keeping text; Lite 9.6
low,IMG-STY-09,Existing 60 (already run in pairs A/B/C),Style transfer,Blended styles,image_edit,Gaming,Blended global style; 10 in every arm
low,IMG-TXT-01,Existing 60 (already run in pairs A/B/C),"Text, typography, infographics",Exact headline poster,text_to_image,Ads,Two exact strings on a poster; Lite 9.8
low,IMG-TXT-03,Existing 60 (already run in pairs A/B/C),"Text, typography, infographics",Chart from supplied values,text_to_image,Ads,Bar chart from four values; 10 in every arm
low,IMG-TXT-04,Existing 60 (already run in pairs A/B/C),"Text, typography, infographics",Ordered process diagram,text_to_image,Ads,Five-step diagram; 10 in every arm
low,IMG-TXT-06,Existing 60 (already run in pairs A/B/C),"Text, typography, infographics",Code rendered as an image,text_to_image,Ads,One line of code; Lite 9.1
low,IMG-TXT-07,Existing 60 (already run in pairs A/B/C),"Text, typography, infographics",Multi-section infographic,text_to_image,Ads,Three-section infographic; 10 in every arm
low,IMG-TXT-09,Existing 60 (already run in pairs A/B/C),"Text, typography, infographics",Text on a curved surface,image_edit,Ads,One word on a curved surface; Lite 9.9
low,IMG-UI-02,Existing 60 (already run in pairs A/B/C),UI mockups & layout,Dashboard with named widgets,text_to_image,Gaming,Dashboard with four named widgets; Lite 9.7
low,IMG-UI-03,Existing 60 (already run in pairs A/B/C),UI mockups & layout,Settings page with controls,text_to_image,Gaming,Settings page with three toggles; Lite 9.8
low,IMG-UI-05,Existing 60 (already run in pairs A/B/C),UI mockups & layout,Dark mode variant,image_edit,Gaming,Dark-mode recolour; 10 in every arm
low,IMG-UI-07,Existing 60 (already run in pairs A/B/C),UI mockups & layout,Form with error states,text_to_image,Gaming,Form with one error state; 10
low,IMG-UI-08,Existing 60 (already run in pairs A/B/C),UI mockups & layout,Consistent icon set,text_to_image,Gaming,Six line icons; Lite 10
low,IMG-UI-10,Existing 60 (already run in pairs A/B/C),UI mockups & layout,Slide layout with placeholders,text_to_image,Ads,Slide with placeholders; Lite 10
low,IMG-GAME-01,Gaming character design v4,Concept & ideation,Operator class concept from a design brief,text_to_image,Gaming,Single-figure concept from a descriptive brief
low,IMG-GAME-31,Gaming character design v4,Concept & ideation,Companion pet design for a battle-royale lobby,text_to_image,Gaming,Simple-shape pet illustration
low,IMG-GAME-33,Gaming character design v4,Concept & ideation,Stylised all-ages battle-royale character,text_to_image,Gaming,Single stylised all-ages figure
low,IMG-GAME-20,Gaming character design v4,Style & production assets,Chibi version for a mobile store icon,image_edit,Gaming,Chibi redraw of one figure
low,IMG-GAME-21,Gaming character design v4,Style & production assets,Clean cut-out for a game-ready asset,image_edit,Gaming,Background cutout onto flat magenta (cf. BRAND-10)
low,IMG-GAME-54,Gaming character design v4,Style & production assets,Concept to a stylised 3D render look,image_edit,Gaming,Global 3D-render restyle
low,IMG-GAME-55,Gaming character design v4,Style & production assets,Clean line-art pass,image_edit,Gaming,Line-art conversion (cf. STY-02)
low,IMG-GAME-58,Gaming character design v4,Style & production assets,Store icon that survives downscaling,image_edit,Gaming,Simplified square icon of one subject
low,IMG-GAME-16,Gaming character design v4,Variants & progression,"Class re-skin, same face",image_edit,Gaming,Kit swap with face locked (cf. CHAR-04)
low,IMG-VIEW-19,Viewing angle v3,Camera angle from scratch,Extreme low worm's-eye angle,text_to_image,Ads,Worm's-eye camera from text
low,IMG-VIEW-20,Viewing angle v3,Camera angle from scratch,Directly overhead flat lay,text_to_image,Ads,Overhead flat lay from text
low,IMG-VIEW-21,Viewing angle v3,Camera angle from scratch,Over-the-shoulder framing,text_to_image,Micro-drama & entertainment,Over-the-shoulder framing from text
low,IMG-VIEW-15,Viewing angle v3,Technical & corrective,Level a tilted horizon without cropping the subject,image_edit,Ecommerce & Retail,Level a 7° tilt and fill the corners
medium,IMG-BG-01,Gaming pilot (BGMI/RC24/GTA V),Game-specific — BGMI,"Airdrop crate on open field with red smoke and parachute",text_to_image,Gaming,"Game-specific scenario for BGMI; passes Swap Test (cannot substitute another game)"
high,IMG-BG-02,Gaming pilot (BGMI/RC24/GTA V),Game-specific — BGMI,"Four-player squad lineup with distinct battle-royale loadouts",text_to_image,Gaming,"Game-specific scenario for BGMI; passes Swap Test (cannot substitute another game)"
high,IMG-BG-03,Gaming pilot (BGMI/RC24/GTA V),Game-specific — BGMI,"Season key art with shrinking blue zone over a battle-royale island",text_to_image,Gaming,"Game-specific scenario for BGMI; passes Swap Test (cannot substitute another game)"
medium,IMG-BG-04,Gaming pilot (BGMI/RC24/GTA V),Game-specific — BGMI,"Loot table — helmet, vest, backpack and first-aid kit",text_to_image,Gaming,"Game-specific scenario for BGMI; passes Swap Test (cannot substitute another game)"
low,IMG-BG-05,Gaming pilot (BGMI/RC24/GTA V),Game-specific — BGMI,"Re-skin soldier to desert camo with matching helmet cover",image_edit,Gaming,"Game-specific scenario for BGMI; passes Swap Test (cannot substitute another game)"
medium,IMG-BG-06,Gaming pilot (BGMI/RC24/GTA V),Game-specific — BGMI,"Swap rifle for a cast-iron frying pan",image_edit,Gaming,"Game-specific scenario for BGMI; passes Swap Test (cannot substitute another game)"
high,IMG-BG-07,Gaming pilot (BGMI/RC24/GTA V),Game-specific — BGMI,"Add kill-feed overlay and minimap HUD to a gameplay frame",image_edit,Gaming,"Game-specific scenario for BGMI; passes Swap Test (cannot substitute another game)"
medium,IMG-BG-08,Gaming pilot (BGMI/RC24/GTA V),Game-specific — BGMI,"Battle-pass tier card from a soldier photograph",image_edit,Gaming,"Game-specific scenario for BGMI; passes Swap Test (cannot substitute another game)"
medium,IMG-BG-09,Gaming pilot (BGMI/RC24/GTA V),Game-specific — BGMI,"Vehicle livery swap — military jeep to neon crate-drop livery",image_edit,Gaming,"Game-specific scenario for BGMI; passes Swap Test (cannot substitute another game)"
medium,IMG-BG-10,Gaming pilot (BGMI/RC24/GTA V),Game-specific — BGMI,"Add Winner Winner Chicken Dinner victory banner",image_edit,Gaming,"Game-specific scenario for BGMI; passes Swap Test (cannot substitute another game)"
medium,IMG-GV-01,Gaming pilot (BGMI/RC24/GTA V),Game-specific — GTA V,"Loading screen — suited character with city skyline at dusk",text_to_image,Gaming,"Game-specific scenario for GTA V; passes Swap Test (cannot substitute another game)"
high,IMG-GV-02,Gaming pilot (BGMI/RC24/GTA V),Game-specific — GTA V,"Three-character lineup in open-world crime game art style",text_to_image,Gaming,"Game-specific scenario for GTA V; passes Swap Test (cannot substitute another game)"
medium,IMG-GV-03,Gaming pilot (BGMI/RC24/GTA V),Game-specific — GTA V,"Muscle car on a hillside with city lights below at night",text_to_image,Gaming,"Game-specific scenario for GTA V; passes Swap Test (cannot substitute another game)"
high,IMG-GV-04,Gaming pilot (BGMI/RC24/GTA V),Game-specific — GTA V,"Heist planning board — map, mugshots, getaway route and loot split",text_to_image,Gaming,"Game-specific scenario for GTA V; passes Swap Test (cannot substitute another game)"
medium,IMG-GV-05,Gaming pilot (BGMI/RC24/GTA V),Game-specific — GTA V,"Day street to neon-lit night with sodium lamp pools",image_edit,Gaming,"Game-specific scenario for GTA V; passes Swap Test (cannot substitute another game)"
medium,IMG-GV-06,Gaming pilot (BGMI/RC24/GTA V),Game-specific — GTA V,"Streetwear to tailored charcoal suit, same face",image_edit,Gaming,"Game-specific scenario for GTA V; passes Swap Test (cannot substitute another game)"
high,IMG-GV-07,Gaming pilot (BGMI/RC24/GTA V),Game-specific — GTA V,"Add a WANTED poster with star rating and cash bounty",image_edit,Gaming,"Game-specific scenario for GTA V; passes Swap Test (cannot substitute another game)"
medium,IMG-GV-08,Gaming pilot (BGMI/RC24/GTA V),Game-specific — GTA V,"Muscle car livery swap — stock paint to racing stripes with sponsor decals",image_edit,Gaming,"Game-specific scenario for GTA V; passes Swap Test (cannot substitute another game)"
low,IMG-GV-09,Gaming pilot (BGMI/RC24/GTA V),Game-specific — GTA V,"Convert photograph to GTA loading-screen art style",image_edit,Gaming,"Game-specific scenario for GTA V; passes Swap Test (cannot substitute another game)"
high,IMG-GV-10,Gaming pilot (BGMI/RC24/GTA V),Game-specific — GTA V,"Remove pedestrians and add police helicopter searchlight",image_edit,Gaming,"Game-specific scenario for GTA V; passes Swap Test (cannot substitute another game)"
medium,IMG-RC-01,Gaming pilot (BGMI/RC24/GTA V),Game-specific — Real Cricket 24,"T20 match poster with stadium floodlights and team crests",text_to_image,Gaming,"Game-specific scenario for Real Cricket 24; passes Swap Test (cannot substitute another game)"
high,IMG-RC-02,Gaming pilot (BGMI/RC24/GTA V),Game-specific — Real Cricket 24,"Player stats card with strike rate and batting average",text_to_image,Gaming,"Game-specific scenario for Real Cricket 24; passes Swap Test (cannot substitute another game)"
medium,IMG-RC-03,Gaming pilot (BGMI/RC24/GTA V),Game-specific — Real Cricket 24,"Cricket pitch top-down view with fielding positions marked",text_to_image,Gaming,"Game-specific scenario for Real Cricket 24; passes Swap Test (cannot substitute another game)"
low,IMG-RC-04,Gaming pilot (BGMI/RC24/GTA V),Game-specific — Real Cricket 24,"Victory celebration with confetti and trophy lift",text_to_image,Gaming,"Game-specific scenario for Real Cricket 24; passes Swap Test (cannot substitute another game)"
low,IMG-RC-05,Gaming pilot (BGMI/RC24/GTA V),Game-specific — Real Cricket 24,"Recolour batting kit from white to yellow with dark-green trim",image_edit,Gaming,"Game-specific scenario for Real Cricket 24; passes Swap Test (cannot substitute another game)"
high,IMG-RC-06,Gaming pilot (BGMI/RC24/GTA V),Game-specific — Real Cricket 24,"Add broadcast scoreboard overlay with team, overs and run rate",image_edit,Gaming,"Game-specific scenario for Real Cricket 24; passes Swap Test (cannot substitute another game)"
medium,IMG-RC-07,Gaming pilot (BGMI/RC24/GTA V),Game-specific — Real Cricket 24,"Day match to night match under floodlights",image_edit,Gaming,"Game-specific scenario for Real Cricket 24; passes Swap Test (cannot substitute another game)"
medium,IMG-RC-08,Gaming pilot (BGMI/RC24/GTA V),Game-specific — Real Cricket 24,"Collectible player card with stats frame and rarity border",image_edit,Gaming,"Game-specific scenario for Real Cricket 24; passes Swap Test (cannot substitute another game)"
medium,IMG-RC-09,Gaming pilot (BGMI/RC24/GTA V),Game-specific — Real Cricket 24,"Replace crowd with empty stands for a rain-delay scene",image_edit,Gaming,"Game-specific scenario for Real Cricket 24; passes Swap Test (cannot substitute another game)"
high,IMG-RC-10,Gaming pilot (BGMI/RC24/GTA V),Game-specific — Real Cricket 24,"Bowler delivery freeze with speed readout overlay",image_edit,Gaming,"Game-specific scenario for Real Cricket 24; passes Swap Test (cannot substitute another game)"
